spot; pays; region; type; hauteur; orientation; nombre de voies; cotations
La Pointe Percée; France; Haute-Savoie; TypeFalaise; Hauteur250 m; OrientationToutes; Nombre de voies30 voies; CotationsDe 5c à 7b
La Presqu'île; France; Drôme; TypeFalaise; Hauteur15 à 35 m; OrientationEst; Nombre de voies52 voies; CotationsDe 6a à 8c
La Réserve; France; Isère; TypeFalaise; HauteurNC; OrientationSud-est ou sud sud-ouest selon secteurs; Nombre de voies23; CotationsDe 6a à 7c+
La Restonica; France; Haute-Corse; TypeFalaise; Hauteur40 m; OrientationToutes; Nombre de voiesPlus de 200 voies; CotationsDe 4a à 8a
La Roche Bernard; France; Haute-Marne; TypeFalaise; Hauteur10 à 15 m; OrientationSud-Ouest; Nombre de voies37 voies; CotationsDe 4b à 7b+
La Rochette; France; Hautes-Alpes; TypeFalaise; Hauteur25m; Orientationsud; Nombre de voies50 voies; CotationsDe 4a à 7b
La Roque; France; Lozère; TypeFalaise; Hauteur10 à 50 m; OrientationNC; Nombre de voies100 voies; CotationsDe 3a à 7b
La Taupinière (Tamée); France; Drôme; TypeFalaise; HauteurNC; OrientationEst. À l’ombre à partir de 10-11h en été.; Nombre de voies27; CotationsDe NC à NC
La Tour sur Tinée; France; Alpes-Maritimes; TypeFalaise; Hauteur150 m; Orientationest, ouest; Nombre de voiesune centaine; CotationsDe 6a à 7c
La Tournette; France; Haute-Savoie; TypeFalaise; Hauteur220 m; OrientationOuest; Nombre de voies40 voies; CotationsDe 5c à 7b
La Turbie; France; Alpes-Maritimes; TypeFalaise; Hauteur120 m; OrientationToutes; Nombre de voies400 voies; CotationsDe 3c à 8c
Le Baou des 4 Ouros; France; Var; TypeFalaise; Hauteur30 m; OrientationToutes; Nombre de voies500 voies; CotationsDe 2a à 8b
Le Barring (Bavella); France; Corse-du-Sud; TypeFalaise; Hauteur45 m; OrientationOuest; Nombre de voies18 voies; CotationsDe 5c à 8c
Le Cap Canaille; France; Bouches-du-Rhône; TypeFalaise; Hauteur240 m; OrientationOuest; Nombre de voies50 voies; CotationsDe 3+ à 7b
Le Capucin; France; Auvergne; TypeBloc; Hauteur60 m; OrientationOuest, Est, Nord; Nombre de voies53 passages; CotationsDe 4c à 8c
Le Caroux; France; Hérault; TypeFalaise; Hauteur350 m; OrientationToutes; Nombre de voies400 voies; CotationsDe 3a à 7c
Le Chaos du Claps; France; Drôme; TypeBloc, Falaise; Hauteur280 m; OrientationToutes; Nombre de voies50 voies; CotationsDe 3b à 7a
Le Falkenfels; France; Moselle; TypeFalaise; Hauteur10 à 30 m; OrientationSud; Nombre de voies55 voies; CotationsDe 5+ à 8b
Le Foron; France; Haute-Savoie; TypeFalaise; Hauteur10 à 30 m; OrientationOuest; Nombre de voies40 voies; CotationsDe 6a+ à 8b
Le Fournel; France; Hautes-Alpes; TypeFalaise; Hauteur130 m max; OrientationOuest, Sud-Ouest, Nord, Est; Nombre de voies100 voies; CotationsDe 4b à 9a
Le Fugeret (Annot); France; Alpes-de-Haute-Provence; TypeBloc; Hauteur10 à 12 m; OrientationToutes; Nombre de voiesEnvirons 1600; CotationsDe débutant à expert
Le Gauxberg; France; Bas-Rhin; TypeFalaise; Hauteur25 m; OrientationSud; Nombre de voies70 voies; CotationsDe 6a à 9a
Le Grand Sablat; France; Isère; TypeBloc; Hauteur7 m; OrientationToutes; Nombre de voies60 passages; CotationsDe 6a à 8c
Le Grand Vallon (Roquevaire); France; Bouches-du-Rhône; TypeFalaise; Hauteur45 m; OrientationToutes; Nombre de voies140 voies; CotationsDe 3c à 9a
Le Joncas; France; Hérault; TypeFalaise; Hauteur70 m; OrientationSud-Ouest, Nord-Est; Nombre de voies70 voies; CotationsDe 4b à 8a
Le Kronthal; France; Bas-Rhin; TypeFalaise; Hauteur30 m; OrientationSud; Nombre de voies130 voies; CotationsDe 5a à 8b
Le Moulin de Bertrand; France; Hérault; TypeFalaise; Hauteur25 m; OrientationSud-Est; Nombre de voies30 voies; CotationsDe 4b à 8b
Le Piéroux; France; Hautes-Alpes; TypeFalaise; Hauteur250 m; OrientationOuest; Nombre de voies10; CotationsDe 3 à 6c+
Le Pont du Prêtre; France; Isère; TypeFalaise; Hauteur25 à 30 m; OrientationOuest; Nombre de voies48; CotationsDe 5a à 6b+
Le précipice de Corbière; France; Drôme; TypeFalaise; Hauteur15 à 40 m; OrientationOuest-Est; Nombre de voies34; CotationsDe 4a à 8
Le Prieuré (Lodève); France; Hérault; TypeBloc; Hauteur7 m; Orientationtoutes; Nombre de voies300 pasages; CotationsDe 3a à 8b
Le Quié de Sinsat; France; Ariège; TypeFalaise; Hauteur15 à 400 m; OrientationSud-Est; Nombre de voies200 voies; CotationsDe 3c à 7c
Le Roc d'Anglars; France; Tarn-et-Garonne; TypeFalaise; Hauteurde 30 à 80 m; Orientationnord; Nombre de voies170; CotationsDe 4c à 8b+
Le rocher Crespin; France; Drôme; TypeFalaise; Hauteur35 m; OrientationNord; Nombre de voies34; CotationsDe 5c à 9a
Le Rocher de 11 heures; France; Isère; TypeFalaise; Hauteur15 à 30 m; OrientationSud-Ouest; Nombre de voies25; CotationsDe 4a à 6b+
Le Rocher de Gonson; France; Isère; TypeFalaise; Hauteur120 à 150 m; OrientationPlein ouest; Nombre de voies5; CotationsDe NC à NC
Le Rocher du Sphinx; France; Côtes-d’Armor; TypeFalaise; Hauteur15 m; OrientationNord, Ouest; Nombre de voies20 voies; CotationsDe 3c à 6a
Le Salève; France; Haute-Savoie; TypeBloc, Falaise; Hauteur7 m pour les blocs. 20 à 180 m pour la falaise; OrientationToutes; Nombre de voies450 voies; CotationsDe 3a à 8a
Le Saussois; France; Yonne; TypeFalaise; Hauteur50 m; OrientationSud; Nombre de voies200 voies; CotationsDe 4c à 8c
Le Teillon (Verdon); France; Alpes-de-Haute-Provence; TypeFalaise; Hauteur200 m; OrientationOuest; Nombre de voies30 voies; CotationsDe 6a à 8b
Le Thaurac; France; Hérault; TypeFalaise; Hauteur30 m; OrientationOuest, Sud-Ouest; Nombre de voies400 voies; CotationsDe 4b à 8b
Le Verdon; France; Alpes-de-Haute-Provence; TypeFalaise; Hauteur250 à 350 m; OrientationToutes; Nombre de voies1500 voies; CotationsDe Tous niveaux à Tous niveaux
Lérouville; France; Meuse; TypeFalaise; Hauteur8 à 30 m; OrientationSud-Ouest; Nombre de voies90 voies; CotationsDe 4c à 8b
Les 3 Becs; France; Drôme; TypeFalaise; Hauteur250 à 350 m; OrientationNord-Est à Nord Ouest; Nombre de voies20 voies; CotationsDe 5b à 7b
Les Aiguilles Rouges; France; Haute-Savoie; TypeFalaise; Hauteur130 à 250 m; OrientationToutes; Nombre de voiesUne trentaine; CotationsDe 5b à 6b
Les Basses Gorges; France; Lozère; Type; Hauteur35 m; OrientationSud-Est; Nombre de voies-; CotationsDe - à -
Les Bossons; France; Haute-Savoie; TypeBloc; Hauteur4 à 5 m; OrientationToutes; Nombre de voies25 blocs pour 150 passages; CotationsDe 3c à 7b
Les Calanques; France; Bouches-du-Rhône; TypeFalaise; Hauteur10 à 100 m; OrientationToutes; Nombre de voies3000 voies; CotationsDe 3a à 9a
Les Cerces; France; Hautes-Alpes; TypeFalaise; Hauteur300 m; OrientationToutes; Nombre de voies130 voies; CotationsDe 5c à ED
Les Dentelles de Montmirail; France; Vaucluse; TypeFalaise; Hauteur90 m par endroit; OrientationNord, Sud; Nombre de voies800 voies; CotationsDe 3c à 8b
Les Dents de Lanfon; France; Haute-Savoie; TypeFalaise; Hauteur250 m; OrientationSud-Ouest; Nombre de voies20 voies; CotationsDe 5+ à 7b
Les Eaux-Claires; France; Charente; TypeBloc, Falaise; Hauteur10 à 18 m; OrientationSud principalement; Nombre de voies400 voies; CotationsDe 4a à 9a
Les Falloises de Vertus; France; Marne; TypeFalaise; Hauteur25 m; OrientationEst; Nombre de voies130 voies; CotationsDe 3a à 7c
Les Fiz; France; Haute-Savoie; TypeFalaise; Hauteur200 à 600 m; OrientationSud, Sud-Est; Nombre de voies15 voies; CotationsDe 5b à 7a+
Les Gicons; France; Hautes-Alpes; TypeFalaise; Hauteur30 m; OrientationSud, sud-ouest; Nombre de voies60; CotationsDe 3c à 8a
Les Gillardes; France; Isère; TypeFalaise; Hauteur550 m; OrientationOuest; Nombre de voies22; CotationsDe 6a+ à 7a+
Les Gorges du Loup; France; Alpes-Maritimes; TypeFalaise; Hauteur45 m; OrientationOuest; Nombre de voies70 voies; CotationsDe 6a à 9a
Les Herbez; France; Alpes-de-Haute-Provence; TypeFalaise; Hauteur60 m; OrientationSud, Sud-Est et Ouest; Nombre de voies160; CotationsDe 4 à 8b+/c
Les Lames; France; Isère; TypeFalaise; Hauteur35 m; OrientationSud-Ouest; Nombre de voiesUne centaine; CotationsDe 4c à 8b
Les Petits Goulets; France; Drôme; TypeFalaise; Hauteur80 m à 200 m; OrientationOrienté Sud-Est. À l’ombre l’après-midi.; Nombre de voies103; CotationsDe 4 à 8c+
Les Pinets; France; Isère; TypeFalaise; Hauteur20 à 30 m; OrientationEst, Sud; Nombre de voies20; CotationsDe 3a à 6a+
