spot,pays,region,type,hauteur,orientation,nombre de voies,cotations
La Mâture,France,Pyrénées-Atlantiques,Falaise,40 à 200 m,Sud,130 voies,De 4c à 8a+
La Plage,France,Drôme,Falaise,30 à 35 m,"Sud-est. La falaise prend le soleil le matin, et passe à l’ombre vers 14-15h en demi-saison. On ne viendra que l’après-midi quand il fait chaud, mais si le temps est couvert et la température raisonnable, on peut venir un peu plus tôt dans la journée.",33,De 7a+ à 8c
La Pointe Percée,France,Haute-Savoie,Falaise,250 m,Toutes,30 voies,De 5c à 7b
La Presqu'île,France,Drôme,Falaise,15 à 35 m,Est,52 voies,De 6a à 8c
La Réserve,France,Isère,Falaise,NC,Sud-est ou sud sud-ouest selon secteurs,23,De 6a à 7c+
La Restonica,France,Haute-Corse,Falaise,40 m,Toutes,Plus de 200 voies,De 4a à 8a
La Roche Bernard,France,Haute-Marne,Falaise,10 à 15 m,Sud-Ouest,37 voies,De 4b à 7b+
La Rochette,France,Hautes-Alpes,Falaise,25m,sud,50 voies,De 4a à 7b
La Roque,France,Lozère,Falaise,10 à 50 m,NC,100 voies,De 3a à 7b
La Taupinière (Tamée),France,Drôme,Falaise,NC,Est. À l’ombre à partir de 10-11h en été.,27,De NC à NC
La Tour sur Tinée,France,Alpes-Maritimes,Falaise,150 m,"est, ouest",une centaine,De 6a à 7c
La Tournette,France,Haute-Savoie,Falaise,220 m,Ouest,40 voies,De 5c à 7b
La Turbie,France,Alpes-Maritimes,Falaise,120 m,Toutes,400 voies,De 3c à 8c
Le Baou des 4 Ouros,France,Var,Falaise,30 m,Toutes,500 voies,De 2a à 8b
Le Barring (Bavella),France,Corse-du-Sud,Falaise,45 m,Ouest,18 voies,De 5c à 8c
Le Cap Canaille,France,Bouches-du-Rhône,Falaise,240 m,Ouest,50 voies,De 3+ à 7b
Le Capucin,France,Auvergne,Bloc,60 m,"Ouest, Est, Nord",53 passages,De 4c à 8c
Le Caroux,France,Hérault,Falaise,350 m,Toutes,400 voies,De 3a à 7c
Le Chaos du Claps,France,Drôme,"Bloc, Falaise",280 m,Toutes,50 voies,De 3b à 7a
Le Falkenfels,France,Moselle,Falaise,10 à 30 m,Sud,55 voies,De 5+ à 8b
Le Foron,France,Haute-Savoie,Falaise,10 à 30 m,Ouest,40 voies,De 6a+ à 8b
Le Fournel,France,Hautes-Alpes,Falaise,130 m max,"Ouest, Sud-Ouest, Nord, Est",100 voies,De 4b à 9a
